"","year","state","measurement.s.","chemical","chemical.type","value"
"251",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","FLUPYRADIFURONE ","INSECTICIDE",0.399
"252",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","HEXYTHIAZOX ","INSECTICIDE",0.269
"253",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","IMIDACLOPRID ","INSECTICIDE",0.793
"254",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","MALATHION ","INSECTICIDE",5.571
"255",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","METHOXYFENOZIDE ","INSECTICIDE",0.245
"256",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","NALED ","INSECTICIDE",1.665
"257",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","NEEM OIL ","INSECTICIDE",0.334
"258",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","NEEM OIL, CLAR. HYD. ","INSECTICIDE",7.924
"259",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","NOVALURON ","INSECTICIDE",0.192
"260",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PIPERONYL BUTOXIDE ","INSECTICIDE",0.884
"261",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PYRETHRINS ","INSECTICIDE",0.074
"262",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PYRIPROXYFEN ","INSECTICIDE",0.074
"263",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","SPINETORAM ","INSECTICIDE",0.108
"264",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","SPINOSAD ","INSECTICIDE",0.113
"265",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","SPIROMESIFEN ","INSECTICIDE",0.307
"266",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","SULFOXAFLOR ","INSECTICIDE",0.137
"267",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","THIAMETHOXAM ","INSECTICIDE",0.164
"268",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","CHLOROPICRIN ","OTHER",345.893
"269",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","DICHLOROPROPENE ","OTHER",125.71
"270",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","FLUTRIAFOL ","OTHER",0.188
"271",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","IRON PHOSPHATE ","OTHER",0.235
"272",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","METAM-POTASSIUM ","OTHER",244.72
"273",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","METAM-SODIUM ","OTHER",303.425
"274",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","REYNOUTRIA SACHALINE ","OTHER",0.231
"275",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","NITROGEN","FERTILIZER",58
"276",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PHOSPHATE","FERTILIZER",86
"277",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","POTASH","FERTILIZER",75
"278",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","SULFUR","FERTILIZER",16
"279",2019,"CALIFORNIA","MEASURED IN NUMBER","AZOXYSTROBIN ","FUNGICIDE",2.2
"280",2019,"CALIFORNIA","MEASURED IN NUMBER","BACILLUS AMYLOLIQUEFACIENS STRAIN D747 ","FUNGICIDE",1.2
"281",2019,"CALIFORNIA","MEASURED IN NUMBER","BACILLUS SUBTILIS ","FUNGICIDE",1.5
"282",2019,"CALIFORNIA","MEASURED IN NUMBER","BLAD ","FUNGICIDE",1.1
"283",2019,"CALIFORNIA","MEASURED IN NUMBER","BORAX DECAHYDRATE ","FUNGICIDE",2.3
"284",2019,"CALIFORNIA","MEASURED IN NUMBER","BOSCALID ","FUNGICIDE",1.5
"285",2019,"CALIFORNIA","MEASURED IN NUMBER","BT SUBSP KURSTAKI EVB-113-19 ","FUNGICIDE",2.6
"286",2019,"CALIFORNIA","MEASURED IN NUMBER","CYFLUFENAMID ","FUNGICIDE",1.5
"287",2019,"CALIFORNIA","MEASURED IN NUMBER","CYPRODINIL ","FUNGICIDE",2.4
"288",2019,"CALIFORNIA","MEASURED IN NUMBER","DIFENOCONAZOLE ","FUNGICIDE",2.2
"289",2019,"CALIFORNIA","MEASURED IN NUMBER","FENHEXAMID ","FUNGICIDE",1.9
"290",2019,"CALIFORNIA","MEASURED IN NUMBER","FLUDIOXONIL ","FUNGICIDE",2.4
"291",2019,"CALIFORNIA","MEASURED IN NUMBER","FLUXAPYROXAD ","FUNGICIDE",2.2
"292",2019,"CALIFORNIA","MEASURED IN NUMBER","FOSETYL-AL ","FUNGICIDE",4.5
"293",2019,"CALIFORNIA","MEASURED IN NUMBER","MEFENOXAM ","FUNGICIDE",2.5
"294",2019,"CALIFORNIA","MEASURED IN NUMBER","MYCLOBUTANIL ","FUNGICIDE",2.6
"295",2019,"CALIFORNIA","MEASURED IN NUMBER","PENTHIOPYRAD ","FUNGICIDE",2.1
"296",2019,"CALIFORNIA","MEASURED IN NUMBER","POLYOXIN D ZINC SALT ","FUNGICIDE",2.1
"297",2019,"CALIFORNIA","MEASURED IN NUMBER","POTASSIUM BICARBON. ","FUNGICIDE",1.2
"298",2019,"CALIFORNIA","MEASURED IN NUMBER","PROPICONAZOLE ","FUNGICIDE",1.6
"299",2019,"CALIFORNIA","MEASURED IN NUMBER","PYRACLOSTROBIN ","FUNGICIDE",1.9
"300",2019,"CALIFORNIA","MEASURED IN NUMBER","PYRIMETHANIL ","FUNGICIDE",1.7
"301",2019,"CALIFORNIA","MEASURED IN NUMBER","QUINOLINE ","FUNGICIDE",2.7
"302",2019,"CALIFORNIA","MEASURED IN NUMBER","SULFUR ","FUNGICIDE",7.3
"303",2019,"CALIFORNIA","MEASURED IN NUMBER","TETRACONAZOLE ","FUNGICIDE",1.5
"304",2019,"CALIFORNIA","MEASURED IN NUMBER","THIOPHANATE-METHYL ","FUNGICIDE",1.6
"305",2019,"CALIFORNIA","MEASURED IN NUMBER","THIRAM ","FUNGICIDE",2.3
"306",2019,"CALIFORNIA","MEASURED IN NUMBER","TRIFLOXYSTROBIN ","FUNGICIDE",2.1
"307",2019,"CALIFORNIA","MEASURED IN NUMBER","TRIFLUMIZOLE ","FUNGICIDE",2.4
"308",2019,"CALIFORNIA","MEASURED IN NUMBER","FLUMIOXAZIN ","HERBICIDE",2.4
"309",2019,"CALIFORNIA","MEASURED IN NUMBER","OXYFLUORFEN ","HERBICIDE",1.4
"310",2019,"CALIFORNIA","MEASURED IN NUMBER","PENDIMETHALIN ","HERBICIDE",1.5
"311",2019,"CALIFORNIA","MEASURED IN NUMBER","ABAMECTIN ","INSECTICIDE",2.2
"312",2019,"CALIFORNIA","MEASURED IN NUMBER","ACEQUINOCYL ","INSECTICIDE",1.6
"313",2019,"CALIFORNIA","MEASURED IN NUMBER","ACETAMIPRID ","INSECTICIDE",1.4
"314",2019,"CALIFORNIA","MEASURED IN NUMBER","AZADIRACHTIN ","INSECTICIDE",2.7
"315",2019,"CALIFORNIA","MEASURED IN NUMBER","BIFENTHRIN ","INSECTICIDE",3.2
"316",2019,"CALIFORNIA","MEASURED IN NUMBER","BT KURSTAK ABTS-1857 ","INSECTICIDE",1.5
"317",2019,"CALIFORNIA","MEASURED IN NUMBER","BT KURSTAKI ABTS-351 ","INSECTICIDE",1.6
"318",2019,"CALIFORNIA","MEASURED IN NUMBER","BT KURSTAKI SA-11 ","INSECTICIDE",1.3
"319",2019,"CALIFORNIA","MEASURED IN NUMBER","BT SUB AIZAWAI GC-91 ","INSECTICIDE",1.6
"320",2019,"CALIFORNIA","MEASURED IN NUMBER","BURKHOLDERIA A396 CELLS & MEDIA ","INSECTICIDE",1.7
"321",2019,"CALIFORNIA","MEASURED IN NUMBER","CHLORANTRANILIPROLE ","INSECTICIDE",1.8
"322",2019,"CALIFORNIA","MEASURED IN NUMBER","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA ","INSECTICIDE",1.3
"323",2019,"CALIFORNIA","MEASURED IN NUMBER","CYFLUMETOFEN ","INSECTICIDE",1.7
"324",2019,"CALIFORNIA","MEASURED IN NUMBER","ETOXAZOLE ","INSECTICIDE",4.3
"325",2019,"CALIFORNIA","MEASURED IN NUMBER","FENPROPATHRIN ","INSECTICIDE",1.9
"326",2019,"CALIFORNIA","MEASURED IN NUMBER","FENPYROXIMATE ","INSECTICIDE",1.2
"327",2019,"CALIFORNIA","MEASURED IN NUMBER","FLONICAMID ","INSECTICIDE",1.9
"328",2019,"CALIFORNIA","MEASURED IN NUMBER","FLUPYRADIFURONE ","INSECTICIDE",2.5
"329",2019,"CALIFORNIA","MEASURED IN NUMBER","HEXYTHIAZOX ","INSECTICIDE",1.5
"330",2019,"CALIFORNIA","MEASURED IN NUMBER","IMIDACLOPRID ","INSECTICIDE",1.5
"331",2019,"CALIFORNIA","MEASURED IN NUMBER","MALATHION ","INSECTICIDE",2.8
"332",2019,"CALIFORNIA","MEASURED IN NUMBER","METHOXYFENOZIDE ","INSECTICIDE",1.4
"333",2019,"CALIFORNIA","MEASURED IN NUMBER","NALED ","INSECTICIDE",1.8
"334",2019,"CALIFORNIA","MEASURED IN NUMBER","NEEM OIL ","INSECTICIDE",3.5
"335",2019,"CALIFORNIA","MEASURED IN NUMBER","NEEM OIL, CLAR. HYD. ","INSECTICIDE",1.5
"336",2019,"CALIFORNIA","MEASURED IN NUMBER","NOVALURON ","INSECTICIDE",3.2
"337",2019,"CALIFORNIA","MEASURED IN NUMBER","PIPERONYL BUTOXIDE ","INSECTICIDE",1.8
"338",2019,"CALIFORNIA","MEASURED IN NUMBER","PYRETHRINS ","INSECTICIDE",1.7
"339",2019,"CALIFORNIA","MEASURED IN NUMBER","PYRIPROXYFEN ","INSECTICIDE",1.1
"340",2019,"CALIFORNIA","MEASURED IN NUMBER","SPINETORAM ","INSECTICIDE",1.6
"341",2019,"CALIFORNIA","MEASURED IN NUMBER","SPINOSAD ","INSECTICIDE",1.2
"342",2019,"CALIFORNIA","MEASURED IN NUMBER","SPIROMESIFEN ","INSECTICIDE",1.3
"343",2019,"CALIFORNIA","MEASURED IN NUMBER","THIAMETHOXAM ","INSECTICIDE",2.7
"344",2019,"CALIFORNIA","MEASURED IN NUMBER","CHLOROPICRIN ","OTHER",1.4
"345",2019,"CALIFORNIA","MEASURED IN NUMBER","DICHLOROPROPENE ","OTHER",1.5
"346",2019,"CALIFORNIA","MEASURED IN NUMBER","FLUTRIAFOL ","OTHER",1.7
"347",2019,"CALIFORNIA","MEASURED IN NUMBER","IRON PHOSPHATE ","OTHER",1.5
"348",2019,"CALIFORNIA","MEASURED IN NUMBER","METAM-POTASSIUM ","OTHER",1.1
"349",2019,"CALIFORNIA","MEASURED IN NUMBER","METAM-SODIUM ","OTHER",1.3
"350",2019,"CALIFORNIA","MEASURED IN NUMBER","REYNOUTRIA SACHALINE ","OTHER",1.2
"351",2019,"CALIFORNIA","MEASURED IN NUMBER","NITROGEN","FERTILIZER",9.9
"352",2019,"CALIFORNIA","MEASURED IN NUMBER","PHOSPHATE","FERTILIZER",11.3
"353",2019,"CALIFORNIA","MEASURED IN NUMBER","POTASH","FERTILIZER",14.3
"354",2019,"CALIFORNIA","MEASURED IN NUMBER","SULFUR","FERTILIZER",8.2
"355",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","AZOXYSTROBIN ","FUNGICIDE",34
"356",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","BACILLUS AMYLOLIQUEFACIENS STRAIN D747 ","FUNGICIDE",26
"357",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","BORAX DECAHYDRATE ","FUNGICIDE",18
"358",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","BOSCALID ","FUNGICIDE",34
"359",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","CAPTAN ","FUNGICIDE",76
"360",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","CYFLUFENAMID ","FUNGICIDE",30
"361",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","CYPRODINIL ","FUNGICIDE",61
"362",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","DIFENOCONAZOLE ","FUNGICIDE",10
"363",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","FENHEXAMID ","FUNGICIDE",36
"364",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","FLUDIOXONIL ","FUNGICIDE",61
"365",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","FLUOPYRAM ","FUNGICIDE",48
"366",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","FLUXAPYROXAD ","FUNGICIDE",30
"367",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","MEFENOXAM ","FUNGICIDE",21
"368",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","MYCLOBUTANIL ","FUNGICIDE",56
"369",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","PENTHIOPYRAD ","FUNGICIDE",31
"370",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","POLYOXIN D ZINC SALT ","FUNGICIDE",26
"371",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","POTASSIUM BICARBON. ","FUNGICIDE",11
"372",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","PROPICONAZOLE ","FUNGICIDE",25
"373",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","PYRACLOSTROBIN ","FUNGICIDE",65
"374",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","PYRIMETHANIL ","FUNGICIDE",29
"375",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","QUINOLINE ","FUNGICIDE",51
"376",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","SULFUR ","FUNGICIDE",72
"377",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","TETRACONAZOLE ","FUNGICIDE",30
"378",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","THIRAM ","FUNGICIDE",50
"379",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","TOTAL","FUNGICIDE",93
"380",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","TRIFLOXYSTROBIN ","FUNGICIDE",50
"381",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","TRIFLUMIZOLE ","FUNGICIDE",37
"382",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","FLUMIOXAZIN ","HERBICIDE",14
"383",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","TOTAL","HERBICIDE",20
"384",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","ABAMECTIN ","INSECTICIDE",35
"385",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","ACEQUINOCYL ","INSECTICIDE",32
"386",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","ACETAMIPRID ","INSECTICIDE",42
"387",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","AZADIRACHTIN ","INSECTICIDE",25
"388",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","BIFENAZATE ","INSECTICIDE",51
"389",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","BIFENTHRIN ","INSECTICIDE",58
"390",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","BT KURSTAK ABTS-1857 ","INSECTICIDE",43
"391",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","BT KURSTAKI ABTS-351 ","INSECTICIDE",24
"392",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","BT KURSTAKI SA-11 ","INSECTICIDE",37
"393",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","CHLORANTRANILIPROLE ","INSECTICIDE",44
"394",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA ","INSECTICIDE",19
"395",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","CYANTRANILIPROLE ","INSECTICIDE",11
"396",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","CYFLUMETOFEN ","INSECTICIDE",48
"397",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","FENPROPATHRIN ","INSECTICIDE",31
"398",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","FLONICAMID ","INSECTICIDE",57
"399",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","FLUPYRADIFURONE ","INSECTICIDE",34
"400",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","HEXYTHIAZOX ","INSECTICIDE",24
"401",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","IMIDACLOPRID ","INSECTICIDE",12
"402",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","MALATHION ","INSECTICIDE",28
"403",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","METHOXYFENOZIDE ","INSECTICIDE",37
"404",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","NALED ","INSECTICIDE",21
"405",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","NEEM OIL, CLAR. HYD. ","INSECTICIDE",18
"406",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","NOVALURON ","INSECTICIDE",66
"407",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","SPINETORAM ","INSECTICIDE",58
"408",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","SPINOSAD ","INSECTICIDE",15
"409",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","SPIROMESIFEN ","INSECTICIDE",17
"410",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","SULFOXAFLOR ","INSECTICIDE",20
"411",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","THIAMETHOXAM ","INSECTICIDE",24
"412",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","TOTAL","INSECTICIDE",91
"413",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","CHLOROPICRIN ","OTHER",49
"414",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","DICHLOROPROPENE ","OTHER",23
"415",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","FLUTRIAFOL ","OTHER",25
"416",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","TOTAL","OTHER",63
"417",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","NITROGEN","FERTILIZER",98
"418",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","PHOSPHATE","FERTILIZER",49
"419",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","POTASH","FERTILIZER",49
"420",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","SULFUR","FERTILIZER",30
"421",2019,"FLORIDA","MEASURED IN LB","AZOXYSTROBIN ","FUNGICIDE",12000
"422",2019,"FLORIDA","MEASURED IN LB","CAPTAN ","FUNGICIDE",146100
"423",2019,"FLORIDA","MEASURED IN LB","CYPRODINIL ","FUNGICIDE",4100
"424",2019,"FLORIDA","MEASURED IN LB","FLUDIOXONIL ","FUNGICIDE",2700
"425",2019,"FLORIDA","MEASURED IN LB","THIOPHANATE-METHYL ","FUNGICIDE",10200
"426",2019,"FLORIDA","MEASURED IN LB","THIRAM ","FUNGICIDE",54800
"427",2019,"FLORIDA","MEASURED IN LB","TOTAL","FUNGICIDE",286900
"428",2019,"FLORIDA","MEASURED IN LB","TOTAL","HERBICIDE",300
"429",2019,"FLORIDA","MEASURED IN LB","ABAMECTIN ","INSECTICIDE",300
"430",2019,"FLORIDA","MEASURED IN LB","ACETAMIPRID ","INSECTICIDE",200
"431",2019,"FLORIDA","MEASURED IN LB","BIFENAZATE ","INSECTICIDE",700
"432",2019,"FLORIDA","MEASURED IN LB","BIFENTHRIN ","INSECTICIDE",300
"433",2019,"FLORIDA","MEASURED IN LB","CHLORANTRANILIPROLE ","INSECTICIDE",100
"434",2019,"FLORIDA","MEASURED IN LB","NOVALURON ","INSECTICIDE",1000
"435",2019,"FLORIDA","MEASURED IN LB","SPINETORAM ","INSECTICIDE",600
"436",2019,"FLORIDA","MEASURED IN LB","THIAMETHOXAM ","INSECTICIDE",100
"437",2019,"FLORIDA","MEASURED IN LB","TOTAL","INSECTICIDE",5100
"438",2019,"FLORIDA","MEASURED IN LB","TOTAL","OTHER",125900
"439",2019,"FLORIDA","MEASURED IN LB","NITROGEN","FERTILIZER",320000
"440",2019,"FLORIDA","MEASURED IN LB","PHOSPHATE","FERTILIZER",86000
"441",2019,"FLORIDA","MEASURED IN LB","POTASH","FERTILIZER",389000
"442",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","AZOXYSTROBIN ","FUNGICIDE",0.858
"443",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","CAPTAN ","FUNGICIDE",2.098
"444",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","CYPRODINIL ","FUNGICIDE",0.313
"445",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","FLUDIOXONIL ","FUNGICIDE",0.206
"446",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","THIOPHANATE-METHYL ","FUNGICIDE",1.34
"447",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","THIRAM ","FUNGICIDE",2.036
"448",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","ABAMECTIN ","INSECTICIDE",0.045
"449",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","ACETAMIPRID ","INSECTICIDE",0.099
"450",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","BIFENAZATE ","INSECTICIDE",0.141
"451",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","BIFENTHRIN ","INSECTICIDE",0.05
"452",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","CHLORANTRANILIPROLE ","INSECTICIDE",0.058
"453",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","NOVALURON ","INSECTICIDE",0.065
"454",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","SPINETORAM ","INSECTICIDE",0.063
"455",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","THIAMETHOXAM ","INSECTICIDE",0.054
"456",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","AZOXYSTROBIN ","FUNGICIDE",4.123
"457",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","CAPTAN ","FUNGICIDE",16.856
"458",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","CYPRODINIL ","FUNGICIDE",0.642
"459",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","FLUDIOXONIL ","FUNGICIDE",0.428
"460",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","THIOPHANATE-METHYL ","FUNGICIDE",4.888
"461",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","THIRAM ","FUNGICIDE",10.166
"462",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","ABAMECTIN ","INSECTICIDE",0.184
"463",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","ACETAMIPRID ","INSECTICIDE",0.127
"464",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","BIFENAZATE ","INSECTICIDE",0.663
"465",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","BIFENTHRIN ","INSECTICIDE",0.077
"466",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","CHLORANTRANILIPROLE ","INSECTICIDE",0.067
"467",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","NOVALURON ","INSECTICIDE",0.212
"468",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","SPINETORAM ","INSECTICIDE",0.116
"469",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","THIAMETHOXAM ","INSECTICIDE",0.095
"470",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","NITROGEN","FERTILIZER",39
"471",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","PHOSPHATE","FERTILIZER",17
"472",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","POTASH","FERTILIZER",43
"473",2019,"FLORIDA","MEASURED IN NUMBER","AZOXYSTROBIN ","FUNGICIDE",4.8
"474",2019,"FLORIDA","MEASURED IN NUMBER","CYPRODINIL ","FUNGICIDE",2.1
"475",2019,"FLORIDA","MEASURED IN NUMBER","FLUDIOXONIL ","FUNGICIDE",2.1
"476",2019,"FLORIDA","MEASURED IN NUMBER","THIOPHANATE-METHYL ","FUNGICIDE",3.6
"477",2019,"FLORIDA","MEASURED IN NUMBER","ABAMECTIN ","INSECTICIDE",4.1
"478",2019,"FLORIDA","MEASURED IN NUMBER","ACETAMIPRID ","INSECTICIDE",1.3
"479",2019,"FLORIDA","MEASURED IN NUMBER","BIFENAZATE ","INSECTICIDE",4.7
"480",2019,"FLORIDA","MEASURED IN NUMBER","BIFENTHRIN ","INSECTICIDE",1.5
"481",2019,"FLORIDA","MEASURED IN NUMBER","CHLORANTRANILIPROLE ","INSECTICIDE",1.2
"482",2019,"FLORIDA","MEASURED IN NUMBER","NOVALURON ","INSECTICIDE",3.2
"483",2019,"FLORIDA","MEASURED IN NUMBER","SPINETORAM ","INSECTICIDE",1.8
"484",2019,"FLORIDA","MEASURED IN NUMBER","THIAMETHOXAM ","INSECTICIDE",1.8
"485",2019,"FLORIDA","MEASURED IN NUMBER","NITROGEN","FERTILIZER",28.7
"486",2019,"FLORIDA","MEASURED IN NUMBER","PHOSPHATE","FERTILIZER",18.6
"487",2019,"FLORIDA","MEASURED IN NUMBER","POTASH","FERTILIZER",25.2
"488",2019,"FLORIDA","MEASURED IN PCT OF AREA BEARING","AZOXYSTROBIN ","FUNGICIDE",29
"489",2019,"FLORIDA","MEASURED IN PCT OF AREA BEARING","CAPTAN ","FUNGICIDE",88
"490",2019,"FLORIDA","MEASURED IN PCT OF AREA BEARING","CYPRODINIL ","FUNGICIDE",64
"491",2019,"FLORIDA","MEASURED IN PCT OF AREA BEARING","FLUDIOXONIL ","FUNGICIDE",64
"492",2019,"FLORIDA","MEASURED IN PCT OF AREA BEARING","THIOPHANATE-METHYL ","FUNGICIDE",21
"493",2019,"FLORIDA","MEASURED IN PCT OF AREA BEARING","THIRAM ","FUNGICIDE",54
"494",2019,"FLORIDA","MEASURED IN PCT OF AREA BEARING","TOTAL","FUNGICIDE",95
"495",2019,"FLORIDA","MEASURED IN PCT OF AREA BEARING","TOTAL","HERBICIDE",15
"496",2019,"FLORIDA","MEASURED IN PCT OF AREA BEARING","ABAMECTIN ","INSECTICIDE",18
"497",2019,"FLORIDA","MEASURED IN PCT OF AREA BEARING","ACETAMIPRID ","INSECTICIDE",13
"498",2019,"FLORIDA","MEASURED IN PCT OF AREA BEARING","BIFENAZATE ","INSECTICIDE",11
"499",2019,"FLORIDA","MEASURED IN PCT OF AREA BEARING","BIFENTHRIN ","INSECTICIDE",35
"500",2019,"FLORIDA","MEASURED IN PCT OF AREA BEARING","CHLORANTRANILIPROLE ","INSECTICIDE",16
"501",2019,"FLORIDA","MEASURED IN PCT OF AREA BEARING","NOVALURON ","INSECTICIDE",46
